,Provincia,Año,Promedio Accesos,cumplido
0,Buenos Aires,2014,55.62014138128556,False
1,Buenos Aires,2015,57.28844820701918,False
2,Buenos Aires,2016,59.513579374661056,False
3,Buenos Aires,2017,57.0212863241231,False
4,Buenos Aires,2018,63.612973101249516,False
5,Buenos Aires,2019,66.92451224858888,True
6,Buenos Aires,2020,66.54485579646845,True
7,Buenos Aires,2021,71.61370988663579,True
8,Buenos Aires,2022,77.67703665289315,True
9,Buenos Aires,2023,79.77,True
10,Capital Federal,2014,113.52368827627767,True
11,Capital Federal,2015,116.84571061084107,True
12,Capital Federal,2016,119.15095085611003,True
13,Capital Federal,2017,119.29658805476915,True
14,Capital Federal,2018,107.37241927703215,True
15,Capital Federal,2019,109.65814671695556,True
16,Capital Federal,2020,107.09548904718072,True
17,Capital Federal,2021,110.2763556317102,True
18,Capital Federal,2022,119.52946567293662,True
19,Capital Federal,2023,118.15666666666668,True
20,Catamarca,2014,24.793692625679896,False
21,Catamarca,2015,25.666529337178808,False
22,Catamarca,2016,26.252149597089193,False
23,Catamarca,2017,28.187086919383788,False
24,Catamarca,2018,32.69810213625942,False
25,Catamarca,2019,32.91087070755169,False
26,Catamarca,2020,44.902807099736954,False
27,Catamarca,2021,52.300474015615556,False
28,Catamarca,2022,62.92658770890293,False
29,Catamarca,2023,67.38,True
30,Chaco,2014,21.164996284207483,False
31,Chaco,2015,27.606942409331463,False
32,Chaco,2016,28.591525539177795,False
33,Chaco,2017,29.612817268193872,False
34,Chaco,2018,31.73892358778619,False
35,Chaco,2019,34.86441179127508,False
36,Chaco,2020,40.47226134677067,False
37,Chaco,2021,43.36877341998982,False
38,Chaco,2022,43.832370024854704,False
39,Chaco,2023,42.96333333333333,False
40,Chubut,2014,40.87334338210355,False
41,Chubut,2015,36.97430902074796,False
42,Chubut,2016,36.11717277161968,False
43,Chubut,2017,42.22167628772977,False
44,Chubut,2018,51.90514754203964,False
45,Chubut,2019,47.174244987881856,False
46,Chubut,2020,61.32722503044728,False
47,Chubut,2021,76.14288120570284,True
48,Chubut,2022,85.29818523458943,True
49,Chubut,2023,84.20333333333333,True
50,Corrientes,2014,22.810573936252503,False
51,Corrientes,2015,29.759511951093906,False
52,Corrientes,2016,30.67722406332462,False
53,Corrientes,2017,31.751818883781176,False
54,Corrientes,2018,33.8223575561286,False
55,Corrientes,2019,37.635841224076344,False
56,Corrientes,2020,40.80321900986003,False
57,Corrientes,2021,44.154084082153446,False
58,Corrientes,2022,48.96115878537559,False
59,Corrientes,2023,52.4,False
60,Córdoba,2014,53.72412018398867,False
61,Córdoba,2015,56.253698891324504,False
62,Córdoba,2016,57.1929021811094,False
63,Córdoba,2017,60.56662160147977,False
64,Córdoba,2018,64.03072515665725,False
65,Córdoba,2019,68.16599953445909,True
66,Córdoba,2020,74.17540643660219,True
67,Córdoba,2021,81.12486341691456,True
68,Córdoba,2022,87.64436339078388,True
69,Córdoba,2023,89.67333333333333,True
70,Entre Ríos,2014,35.015418094597706,False
71,Entre Ríos,2015,43.195725524558796,False
72,Entre Ríos,2016,44.807096607249974,False
73,Entre Ríos,2017,46.034992919803116,False
74,Entre Ríos,2018,50.62015040829062,False
75,Entre Ríos,2019,57.53967773135703,False
76,Entre Ríos,2020,57.580796526871765,False
77,Entre Ríos,2021,61.858619270788424,False
78,Entre Ríos,2022,63.82022586780789,False
79,Entre Ríos,2023,66.02,True
80,Formosa,2014,17.67162225684596,False
81,Formosa,2015,18.596303542455495,False
82,Formosa,2016,19.224973353756425,False
83,Formosa,2017,20.607231673307083,False
84,Formosa,2018,27.53791234155172,False
85,Formosa,2019,30.169919278924194,False
86,Formosa,2020,31.440186351663304,False
87,Formosa,2021,33.59376203227049,False
88,Formosa,2022,40.386421748937835,False
89,Formosa,2023,38.656666666666666,False
90,Jujuy,2014,18.772341460595687,False
91,Jujuy,2015,20.6796849628045,False
92,Jujuy,2016,22.138708401409733,False
93,Jujuy,2017,22.636962142051498,False
94,Jujuy,2018,29.08735753351358,False
95,Jujuy,2019,45.15509867641424,False
96,Jujuy,2020,50.51476283499463,False
97,Jujuy,2021,56.10623504168427,False
98,Jujuy,2022,58.18865716606696,False
99,Jujuy,2023,57.86333333333334,False
100,La Pampa,2014,51.29681309733984,False
101,La Pampa,2015,57.23399862591893,False
102,La Pampa,2016,60.7564242793969,False
103,La Pampa,2017,66.58812640049013,True
104,La Pampa,2018,72.00906489928227,True
105,La Pampa,2019,76.95364894132804,True
106,La Pampa,2020,78.22519506473596,True
107,La Pampa,2021,84.42601899493134,True
108,La Pampa,2022,94.00833132852179,True
109,La Pampa,2023,97.96666666666665,True
110,La Rioja,2014,16.57853344837164,False
111,La Rioja,2015,17.013325214955216,False
112,La Rioja,2016,16.81057411852651,False
113,La Rioja,2017,33.85817416565161,False
114,La Rioja,2018,50.87560948742333,False
115,La Rioja,2019,48.49208056494416,False
116,La Rioja,2020,49.10382293896916,False
117,La Rioja,2021,70.4923118715782,True
118,La Rioja,2022,79.85864966641125,True
119,La Rioja,2023,80.06333333333333,True
120,Mendoza,2014,32.240730643663255,False
121,Mendoza,2015,32.459707929813185,False
122,Mendoza,2016,32.11125572822381,False
123,Mendoza,2017,33.158043860731645,False
124,Mendoza,2018,37.44835123509313,False
125,Mendoza,2019,38.19949062831769,False
126,Mendoza,2020,36.343133055195906,False
127,Mendoza,2021,43.295126281511514,False
128,Mendoza,2022,50.12881023389586,False
129,Mendoza,2023,51.84,False
130,Misiones,2014,23.558518452427755,False
131,Misiones,2015,27.661572634747895,False
132,Misiones,2016,29.30817524941847,False
133,Misiones,2017,30.239906543761855,False
134,Misiones,2018,32.28551471563622,False
135,Misiones,2019,38.63136512878825,False
136,Misiones,2020,41.038686002012255,False
137,Misiones,2021,45.70513115166102,False
138,Misiones,2022,51.17833549943238,False
139,Misiones,2023,54.88666666666666,False
140,Neuquén,2014,52.39618874353839,False
141,Neuquén,2015,54.49010649921016,False
142,Neuquén,2016,58.98518516366367,False
143,Neuquén,2017,61.251472656844726,False
144,Neuquén,2018,60.32749199398023,False
145,Neuquén,2019,61.36343557129738,False
146,Neuquén,2020,64.49811953327452,False
147,Neuquén,2021,69.7472490630138,True
148,Neuquén,2022,78.30826377498178,True
149,Neuquén,2023,79.16333333333334,True
150,Río Negro,2014,45.48077934024225,False
151,Río Negro,2015,46.03293424450982,False
152,Río Negro,2016,46.212103794506476,False
153,Río Negro,2017,47.48615814296857,False
154,Río Negro,2018,50.592201869373454,False
155,Río Negro,2019,58.4488919626997,False
156,Río Negro,2020,57.406506326178835,False
157,Río Negro,2021,62.620848400948944,False
158,Río Negro,2022,67.82160188746758,True
159,Río Negro,2023,68.70666666666666,True
160,Salta,2014,29.09292487096736,False
161,Salta,2015,30.810087484268493,False
162,Salta,2016,32.26180585419776,False
163,Salta,2017,36.23771321420391,False
164,Salta,2018,39.73545180580959,False
165,Salta,2019,44.20558989569033,False
166,Salta,2020,51.88393193837422,False
167,Salta,2021,55.40970338884655,False
168,Salta,2022,57.341898352124396,False
169,Salta,2023,57.57333333333333,False
170,San Juan,2014,27.817395258404606,False
171,San Juan,2015,27.63162144291482,False
172,San Juan,2016,27.32028105307082,False
173,San Juan,2017,29.167048914978103,False
174,San Juan,2018,32.62587371863916,False
175,San Juan,2019,34.33751603866121,False
176,San Juan,2020,35.649496827460396,False
177,San Juan,2021,39.345879975708876,False
178,San Juan,2022,48.67149540233291,False
179,San Juan,2023,49.24,False
180,San Luis,2014,9.640680542021444,False
181,San Luis,2015,9.70907326355233,False
182,San Luis,2016,9.615325564157061,False
183,San Luis,2017,11.28101584214988,False
184,San Luis,2018,37.55069587818646,False
185,San Luis,2019,77.31851165673592,True
186,San Luis,2020,79.08985483860333,True
187,San Luis,2021,81.22040632384719,True
188,San Luis,2022,83.62355765150443,True
189,San Luis,2023,94.04333333333334,True
190,Santa Cruz,2014,28.587680522639843,False
191,Santa Cruz,2015,27.604484755212955,False
192,Santa Cruz,2016,26.869184089266582,False
193,Santa Cruz,2017,28.744483541490155,False
194,Santa Cruz,2018,30.825542200964417,False
195,Santa Cruz,2019,31.213310529077237,False
196,Santa Cruz,2020,36.1795004064235,False
197,Santa Cruz,2021,43.1153206591588,False
198,Santa Cruz,2022,43.30210577763263,False
199,Santa Cruz,2023,41.99,False
200,Santa Fe,2014,48.85838035530693,False
201,Santa Fe,2015,51.54376954867488,False
202,Santa Fe,2016,52.14425467987469,False
203,Santa Fe,2017,56.71471144649179,False
204,Santa Fe,2018,63.462368580182634,False
205,Santa Fe,2019,68.18778717825828,True
206,Santa Fe,2020,71.30677214646961,True
207,Santa Fe,2021,75.27289993871662,True
208,Santa Fe,2022,78.038646186896,True
209,Santa Fe,2023,78.68333333333334,True
210,Santiago Del Estero,2014,16.691724085817274,False
211,Santiago Del Estero,2015,17.07254604838268,False
212,Santiago Del Estero,2016,15.623042085758577,False
213,Santiago Del Estero,2017,23.267134640306626,False
214,Santiago Del Estero,2018,35.97376914718776,False
215,Santiago Del Estero,2019,47.13351832532555,False
216,Santiago Del Estero,2020,43.264678487571125,False
217,Santiago Del Estero,2021,46.569076845740575,False
218,Santiago Del Estero,2022,47.725684598310124,False
219,Santiago Del Estero,2023,47.78666666666667,False
220,Tierra Del Fuego,2014,65.03647306597455,True
221,Tierra Del Fuego,2015,72.51587204833157,True
222,Tierra Del Fuego,2016,68.19926072757625,True
223,Tierra Del Fuego,2017,65.75472749235526,True
224,Tierra Del Fuego,2018,85.79233064374979,True
225,Tierra Del Fuego,2019,91.0828311255355,True
226,Tierra Del Fuego,2020,76.37851580171338,True
227,Tierra Del Fuego,2021,84.64741213814253,True
228,Tierra Del Fuego,2022,99.77513759668199,True
229,Tierra Del Fuego,2023,105.52,True
230,Tucumán,2014,34.15753316767511,False
231,Tucumán,2015,36.10971132640389,False
232,Tucumán,2016,37.45964496840195,False
233,Tucumán,2017,38.91966177356154,False
234,Tucumán,2018,41.5318889482372,False
235,Tucumán,2019,42.225852743696535,False
236,Tucumán,2020,51.910054523448665,False
237,Tucumán,2021,55.077288734213454,False
238,Tucumán,2022,59.72000806807799,False
239,Tucumán,2023,60.78333333333333,False
